2017-05-18 10:41:48.195 [main:755 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gaotianye.springboot.spider.SpiderApplicationTests], using SpringBootContextLoader
2017-05-18 10:48:42.144 [main:6123] [o.s.w.s.m.m.a.RequestMappingHandlerMapping] - [ INFO ]  Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-05-18 10:48:42.308 [main:6287] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:48:42.309 [main:6288] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:48:42.431 [main:6410] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:48:43.087 [main:7066] [o.s.s.a.ScheduledAnnotationBeanPostProcessor] - [ INFO ]  No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2017-05-18 10:48:43.114 [main:7093] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########展示爬虫的基本信息如下#########
2017-05-18 10:48:43.115 [main:7094] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########京东redis初始化url：https://item.jd.com/4390094.html
2017-05-18 10:48:43.115 [main:7094] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########下载实现类：com.gaotianye.springboot.spider.download.HttpClientDownloadImpl
2017-05-18 10:48:43.115 [main:7094] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########解析实现类：com.gaotianye.springboot.spider.process.JDProcessImpl
2017-05-18 10:48:43.121 [main:7100] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Started SpiderApplicationTests in 6.106 seconds (JVM running for 7.478)
2017-05-18 10:48:44.603 [main:8582] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：603,url：https://item.jd.com/4390094.html
2017-05-18 10:48:45.256 [main:9235] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：29,url：http://p.3.cn/prices/mgets?skuIds=J_4390094
2017-05-18 10:49:00.004 [pool-1-thread-1:23983] [c.g.s.spider.scheduler.Spider] - [ INFO ]  开始执行调度任务.......................
2017-05-18 10:49:00.448 [pool-1-thread-1:24427] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：431,url：https://item.jd.com/4390094.html
2017-05-18 10:49:00.740 [pool-1-thread-1:24719] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：35,url：http://p.3.cn/prices/mgets?skuIds=J_4390094
2017-05-18 10:53:10.203 [main:500 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.gaotianye.springboot.spider.SpiderApplicationTests], using SpringBootContextLoader
2017-05-18 10:53:10.214 [main:511 ] [o.s.t.c.s.AbstractContextLoader] - [ INFO ]  Could not detect default resource locations for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-05-18 10:53:10.215 [main:512 ] [o.s.t.c.s.AnnotationConfigContextLoaderUtils] - [ INFO ]  Could not detect default configuration classes for test class [com.gaotianye.springboot.spider.SpiderApplicationTests]: SpiderApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-05-18 10:53:10.417 [main:714 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Found @SpringBootConfiguration com.gaotianye.springboot.spider.SpiderApplication for test class com.gaotianye.springboot.spider.SpiderApplicationTests
2017-05-18 10:53:10.432 [main:729 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-05-18 10:53:10.454 [main:751 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2017-05-18 10:53:10.456 [main:753 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2017-05-18 10:53:10.457 [main:754 ] [o.s.b.t.c.SpringBootTestContextBootstrapper] - [ INFO ]  Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5f8b459a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3086b277, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5b2ebb84, org.springframework.test.context.support.DirtiesContextTestExecutionListener@591905e0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@79d0e2d2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@db8779, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4c9b195f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5a9ed343, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7140022f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@214f95bf]
2017-05-18 10:53:11.216 [main:1513] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Starting SpiderApplicationTests on DESKTOP-I84AP7P with PID 9828 (started by gaotianye in E:\CelLoud\spider)
2017-05-18 10:53:11.216 [main:1513] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  The following profiles are active: dev
2017-05-18 10:53:11.278 [main:1575] [o.s.w.c.s.GenericWebApplicationContext] - [ INFO ]  Refreshing org.springframework.web.context.support.GenericWebApplicationContext@719c2456: startup date [Thu May 18 10:53:11 CST 2017]; root of context hierarchy
2017-05-18 10:53:11.711 [background-preinit:2008] [o.h.validator.internal.util.Version] - [ INFO ]  HV000001: Hibernate Validator 5.2.4.Final
2017-05-18 10:53:14.486 [main:4783] [o.s.w.s.m.m.a.RequestMappingHandlerAdapter] - [ INFO ]  Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@719c2456: startup date [Thu May 18 10:53:11 CST 2017]; root of context hierarchy
2017-05-18 10:53:14.612 [main:4909] [o.s.w.s.m.m.a.RequestMappingHandlerMapping] - [ INFO ]  Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-05-18 10:53:14.614 [main:4911] [o.s.w.s.m.m.a.RequestMappingHandlerMapping] - [ INFO ]  Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-05-18 10:53:14.691 [main:4988] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:53:14.691 [main:4988] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:53:14.789 [main:5086] [o.s.w.s.h.SimpleUrlHandlerMapping] - [ INFO ]  Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-05-18 10:53:15.198 [main:5495] [o.s.s.a.ScheduledAnnotationBeanPostProcessor] - [ INFO ]  No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2017-05-18 10:53:15.222 [main:5519] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########展示爬虫的基本信息如下#########
2017-05-18 10:53:15.223 [main:5520] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########京东redis初始化url：https://item.jd.com/4390094.html
2017-05-18 10:53:15.223 [main:5520] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########下载实现类：com.gaotianye.springboot.spider.download.HttpClientDownloadImpl
2017-05-18 10:53:15.223 [main:5520] [c.g.s.spider.runner.StartUpRunner] - [ INFO ]  #########解析实现类：com.gaotianye.springboot.spider.process.JDProcessImpl
2017-05-18 10:53:15.227 [main:5524] [c.g.s.spider.SpiderApplicationTests] - [ INFO ]  Started SpiderApplicationTests in 4.603 seconds (JVM running for 5.938)
2017-05-18 10:53:16.324 [main:6621] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：471,url：https://item.jd.com/4390094.html
2017-05-18 10:53:16.758 [main:7055] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：27,url：http://p.3.cn/prices/mgets?skuIds=J_4390094
2017-05-18 10:54:00.001 [pool-1-thread-1:50298] [c.g.s.spider.scheduler.Spider] - [ INFO ]  开始执行调度任务.......................
2017-05-18 10:54:00.652 [pool-1-thread-1:50949] [c.g.s.spider.utils.PageUtils] - [ INFO ]  页面下载成功，消耗时间：635,url：https://item.jd.com/4390094.html
